time  column1,torr column2,torr vessel torr  
1567609236345 7,500e-05 3,090e-02 3,090e-02
1567609236710 7,500e-05 3,098e-02 3,098e-02
1567609236952 7,500e-05 3,090e-02 3,090e-02
1567609237700 7,500e-05 3,083e-02 3,083e-02
1567609237943 7,500e-05 3,090e-02 3,090e-02
1567609239151 7,500e-05 3,083e-02 3,083e-02
1567609239284 7,500e-05 3,090e-02 3,090e-02
1567609239770 7,500e-05 3,098e-02 3,098e-02
1567609239892 7,500e-05 3,090e-02 3,090e-02
1567609240374 7,500e-05 3,098e-02 3,098e-02
1567609240860 7,500e-05 3,090e-02 3,090e-02
1567609241462 7,500e-05 3,098e-02 3,098e-02
1567609241949 7,500e-05 3,090e-02 3,090e-02
1567609242558 7,500e-05 3,098e-02 3,098e-02
1567609243164 7,500e-05 3,090e-02 3,090e-02
1567609244374 7,500e-05 3,098e-02 3,098e-02
1567609244509 7,500e-05 3,090e-02 3,090e-02
1567609244751 7,500e-05 3,083e-02 3,083e-02
1567609244873 7,500e-05 3,098e-02 3,098e-02
1567609245115 7,500e-05 3,083e-02 3,083e-02
1567609245358 7,500e-05 3,090e-02 3,090e-02
1567609246089 7,500e-05 3,083e-02 3,083e-02
1567609246331 7,500e-05 3,090e-02 3,090e-02
1567609246580 7,500e-05 3,083e-02 3,083e-02
1567609246704 7,500e-05 3,090e-02 3,090e-02
1567609247909 7,500e-05 3,083e-02 3,083e-02
1567609248151 7,500e-05 3,090e-02 3,090e-02
1567609248514 7,500e-05 3,083e-02 3,083e-02
1567609248760 7,500e-05 3,090e-02 3,090e-02
1567609249482 7,500e-05 3,083e-02 3,083e-02
1567609249970 7,500e-05 3,090e-02 3,090e-02
1567609250580 7,500e-05 3,083e-02 3,083e-02
1567609250704 7,500e-05 3,090e-02 3,090e-02
1567609251066 7,500e-05 3,098e-02 3,098e-02
1567609251308 7,500e-05 3,090e-02 3,090e-02
1567609251910 7,500e-05 3,083e-02 3,083e-02
1567609252152 7,500e-05 3,090e-02 3,090e-02
1567609252514 7,500e-05 3,083e-02 3,083e-02
1567609252760 7,500e-05 3,090e-02 3,090e-02
1567609253394 7,500e-05 3,083e-02 3,083e-02
1567609253516 7,500e-05 3,090e-02 3,090e-02
1567609254360 7,500e-05 3,083e-02 3,083e-02
1567609254727 7,500e-05 3,090e-02 3,090e-02
1567609255570 7,500e-05 3,098e-02 3,098e-02
1567609255692 7,500e-05 3,090e-02 3,090e-02
1567609255934 7,500e-05 3,083e-02 3,083e-02
